year,gender,destination,origin,movers,is_intra,source_sheet,source_row_number,origin_capital,destination_capital,flow_block
2025,all,강원,경기,26293,False,6.전입출지별(이동자),15,True,False,capital_to_noncapital
2025,all,강원,충북,3749,False,6.전입출지별(이동자),15,False,False,noncapital_to_noncapital
2025,all,강원,충남,2727,False,6.전입출지별(이동자),15,False,False,noncapital_to_noncapital
2025,all,강원,전북,1142,False,6.전입출지별(이동자),15,False,False,noncapital_to_noncapital
2025,all,강원,전남,1142,False,6.전입출지별(이동자),15,False,False,noncapital_to_noncapital
2025,all,강원,경북,3248,False,6.전입출지별(이동자),15,False,False,noncapital_to_noncapital
2025,all,강원,경남,2097,False,6.전입출지별(이동자),15,False,False,noncapital_to_noncapital
2025,all,강원,제주,804,False,6.전입출지별(이동자),15,False,False,noncapital_to_noncapital
2025,all,충북,서울,12009,False,6.전입출지별(이동자),16,True,False,capital_to_noncapital
2025,all,충북,부산,2012,False,6.전입출지별(이동자),16,False,False,noncapital_to_noncapital
2025,all,충북,대구,2090,False,6.전입출지별(이동자),16,False,False,noncapital_to_noncapital
2025,all,충북,인천,3894,False,6.전입출지별(이동자),16,True,False,capital_to_noncapital
2025,all,충북,광주,1178,False,6.전입출지별(이동자),16,False,False,noncapital_to_noncapital
2025,all,충북,대전,8865,False,6.전입출지별(이동자),16,False,False,noncapital_to_noncapital
2025,all,충북,울산,1067,False,6.전입출지별(이동자),16,False,False,noncapital_to_noncapital
2025,all,충북,세종,4212,False,6.전입출지별(이동자),16,False,False,noncapital_to_noncapital
2025,all,충북,경기,23456,False,6.전입출지별(이동자),16,True,False,capital_to_noncapital
2025,all,충북,강원,4223,False,6.전입출지별(이동자),16,False,False,noncapital_to_noncapital
2025,all,충북,충남,6836,False,6.전입출지별(이동자),16,False,False,noncapital_to_noncapital
2025,all,충북,전북,2417,False,6.전입출지별(이동자),16,False,False,noncapital_to_noncapital
2025,all,충북,전남,1555,False,6.전입출지별(이동자),16,False,False,noncapital_to_noncapital
2025,all,충북,경북,4441,False,6.전입출지별(이동자),16,False,False,noncapital_to_noncapital
2025,all,충북,경남,2691,False,6.전입출지별(이동자),16,False,False,noncapital_to_noncapital
2025,all,충북,제주,809,False,6.전입출지별(이동자),16,False,False,noncapital_to_noncapital
2025,all,충남,서울,17671,False,6.전입출지별(이동자),17,True,False,capital_to_noncapital
2025,all,충남,부산,2704,False,6.전입출지별(이동자),17,False,False,noncapital_to_noncapital
2025,all,충남,대구,2386,False,6.전입출지별(이동자),17,False,False,noncapital_to_noncapital
2025,all,충남,인천,7209,False,6.전입출지별(이동자),17,True,False,capital_to_noncapital
2025,all,충남,광주,2026,False,6.전입출지별(이동자),17,False,False,noncapital_to_noncapital
2025,all,충남,대전,13167,False,6.전입출지별(이동자),17,False,False,noncapital_to_noncapital
2025,all,충남,울산,1314,False,6.전입출지별(이동자),17,False,False,noncapital_to_noncapital
2025,all,충남,세종,4659,False,6.전입출지별(이동자),17,False,False,noncapital_to_noncapital
2025,all,충남,경기,36471,False,6.전입출지별(이동자),17,True,False,capital_to_noncapital
2025,all,충남,강원,3188,False,6.전입출지별(이동자),17,False,False,noncapital_to_noncapital
2025,all,충남,충북,6802,False,6.전입출지별(이동자),17,False,False,noncapital_to_noncapital
2025,all,충남,전북,5685,False,6.전입출지별(이동자),17,False,False,noncapital_to_noncapital
2025,all,충남,전남,2983,False,6.전입출지별(이동자),17,False,False,noncapital_to_noncapital
2025,all,충남,경북,4124,False,6.전입출지별(이동자),17,False,False,noncapital_to_noncapital
2025,all,충남,경남,3626,False,6.전입출지별(이동자),17,False,False,noncapital_to_noncapital
2025,all,충남,제주,1247,False,6.전입출지별(이동자),17,False,False,noncapital_to_noncapital
2025,all,전북,서울,9968,False,6.전입출지별(이동자),18,True,False,capital_to_noncapital
2025,all,전북,부산,1415,False,6.전입출지별(이동자),18,False,False,noncapital_to_noncapital
2025,all,전북,대구,885,False,6.전입출지별(이동자),18,False,False,noncapital_to_noncapital
2025,all,전북,인천,2661,False,6.전입출지별(이동자),18,True,False,capital_to_noncapital
2025,all,전북,광주,5765,False,6.전입출지별(이동자),18,False,False,noncapital_to_noncapital
2025,all,전북,대전,3543,False,6.전입출지별(이동자),18,False,False,noncapital_to_noncapital
2025,all,전북,울산,561,False,6.전입출지별(이동자),18,False,False,noncapital_to_noncapital
2025,all,전북,세종,1038,False,6.전입출지별(이동자),18,False,False,noncapital_to_noncapital
2025,all,전북,경기,13343,False,6.전입출지별(이동자),18,True,False,capital_to_noncapital
2025,all,전북,강원,1162,False,6.전입출지별(이동자),18,False,False,noncapital_to_noncapital
2025,all,전북,충북,1941,False,6.전입출지별(이동자),18,False,False,noncapital_to_noncapital
2025,all,전북,충남,5349,False,6.전입출지별(이동자),18,False,False,noncapital_to_noncapital
2025,all,전북,전남,4795,False,6.전입출지별(이동자),18,False,False,noncapital_to_noncapital
2025,all,전북,경북,1288,False,6.전입출지별(이동자),18,False,False,noncapital_to_noncapital
2025,all,전북,경남,1889,False,6.전입출지별(이동자),18,False,False,noncapital_to_noncapital
2025,all,전북,제주,917,False,6.전입출지별(이동자),18,False,False,noncapital_to_noncapital
2025,all,전남,서울,8700,False,6.전입출지별(이동자),19,True,False,capital_to_noncapital
2025,all,전남,부산,2555,False,6.전입출지별(이동자),19,False,False,noncapital_to_noncapital
2025,all,전남,대구,837,False,6.전입출지별(이동자),19,False,False,noncapital_to_noncapital
2025,all,전남,인천,2723,False,6.전입출지별(이동자),19,True,False,capital_to_noncapital
2025,all,전남,광주,29154,False,6.전입출지별(이동자),19,False,False,noncapital_to_noncapital
2025,all,전남,대전,1399,False,6.전입출지별(이동자),19,False,False,noncapital_to_noncapital
2025,all,전남,울산,736,False,6.전입출지별(이동자),19,False,False,noncapital_to_noncapital
2025,all,전남,세종,493,False,6.전입출지별(이동자),19,False,False,noncapital_to_noncapital
2025,all,전남,경기,11707,False,6.전입출지별(이동자),19,True,False,capital_to_noncapital
2025,all,전남,강원,1081,False,6.전입출지별(이동자),19,False,False,noncapital_to_noncapital
2025,all,전남,충북,1117,False,6.전입출지별(이동자),19,False,False,noncapital_to_noncapital
2025,all,전남,충남,2377,False,6.전입출지별(이동자),19,False,False,noncapital_to_noncapital
2025,all,전남,전북,4504,False,6.전입출지별(이동자),19,False,False,noncapital_to_noncapital
2025,all,전남,경북,1543,False,6.전입출지별(이동자),19,False,False,noncapital_to_noncapital
2025,all,전남,경남,3702,False,6.전입출지별(이동자),19,False,False,noncapital_to_noncapital
2025,all,전남,제주,1224,False,6.전입출지별(이동자),19,False,False,noncapital_to_noncapital
2025,all,경북,서울,11087,False,6.전입출지별(이동자),20,True,False,capital_to_noncapital
2025,all,경북,부산,8392,False,6.전입출지별(이동자),20,False,False,noncapital_to_noncapital
2025,all,경북,대구,33503,False,6.전입출지별(이동자),20,False,False,noncapital_to_noncapital
2025,all,경북,인천,3428,False,6.전입출지별(이동자),20,True,False,capital_to_noncapital
2025,all,경북,광주,885,False,6.전입출지별(이동자),20,False,False,noncapital_to_noncapital
2025,all,경북,대전,2834,False,6.전입출지별(이동자),20,False,False,noncapital_to_noncapital
2025,all,경북,울산,7822,False,6.전입출지별(이동자),20,False,False,noncapital_to_noncapital
2025,all,경북,세종,805,False,6.전입출지별(이동자),20,False,False,noncapital_to_noncapital
2025,all,경북,경기,16226,False,6.전입출지별(이동자),20,True,False,capital_to_noncapital
2025,all,경북,강원,3216,False,6.전입출지별(이동자),20,False,False,noncapital_to_noncapital
2025,all,경북,충북,3427,False,6.전입출지별(이동자),20,False,False,noncapital_to_noncapital
2025,all,경북,충남,3181,False,6.전입출지별(이동자),20,False,False,noncapital_to_noncapital
2025,all,경북,전북,1331,False,6.전입출지별(이동자),20,False,False,noncapital_to_noncapital
2025,all,경북,전남,1637,False,6.전입출지별(이동자),20,False,False,noncapital_to_noncapital
2025,all,경북,경남,8870,False,6.전입출지별(이동자),20,False,False,noncapital_to_noncapital
2025,all,경북,제주,1271,False,6.전입출지별(이동자),20,False,False,noncapital_to_noncapital
2025,all,경남,서울,11143,False,6.전입출지별(이동자),21,True,False,capital_to_noncapital
2025,all,경남,부산,43163,False,6.전입출지별(이동자),21,False,False,noncapital_to_noncapital
2025,all,경남,대구,7450,False,6.전입출지별(이동자),21,False,False,noncapital_to_noncapital
2025,all,경남,인천,2774,False,6.전입출지별(이동자),21,True,False,capital_to_noncapital
2025,all,경남,광주,1245,False,6.전입출지별(이동자),21,False,False,noncapital_to_noncapital
2025,all,경남,대전,2151,False,6.전입출지별(이동자),21,False,False,noncapital_to_noncapital
2025,all,경남,울산,7033,False,6.전입출지별(이동자),21,False,False,noncapital_to_noncapital
2025,all,경남,세종,753,False,6.전입출지별(이동자),21,False,False,noncapital_to_noncapital
2025,all,경남,경기,13228,False,6.전입출지별(이동자),21,True,False,capital_to_noncapital
2025,all,경남,강원,2052,False,6.전입출지별(이동자),21,False,False,noncapital_to_noncapital
2025,all,경남,충북,1965,False,6.전입출지별(이동자),21,False,False,noncapital_to_noncapital
2025,all,경남,충남,2994,False,6.전입출지별(이동자),21,False,False,noncapital_to_noncapital
2025,all,경남,전북,1838,False,6.전입출지별(이동자),21,False,False,noncapital_to_noncapital
2025,all,경남,전남,3568,False,6.전입출지별(이동자),21,False,False,noncapital_to_noncapital
2025,all,경남,경북,8174,False,6.전입출지별(이동자),21,False,False,noncapital_to_noncapital
2025,all,경남,제주,1918,False,6.전입출지별(이동자),21,False,False,noncapital_to_noncapital
2025,all,제주,서울,6972,False,6.전입출지별(이동자),22,True,False,capital_to_noncapital
2025,all,제주,부산,1945,False,6.전입출지별(이동자),22,False,False,noncapital_to_noncapital
2025,all,제주,대구,994,False,6.전입출지별(이동자),22,False,False,noncapital_to_noncapital
2025,all,제주,인천,1763,False,6.전입출지별(이동자),22,True,False,capital_to_noncapital
2025,all,제주,광주,881,False,6.전입출지별(이동자),22,False,False,noncapital_to_noncapital
2025,all,제주,대전,645,False,6.전입출지별(이동자),22,False,False,noncapital_to_noncapital
